Date,IXIC,GSPC,GDAXI
2011-12-19,2523.139893,1205.349976,5994.72998
2011-12-20,2603.72998,1241.300049,5874.439941
2011-12-21,2577.969971,1243.719971,5986.709961
2011-12-22,2599.449951,1254,5785.430176
2011-12-23,2618.639893,1265.329956,5774.259766
2011-12-27,2625.199951,1265.430054,5675.140137
2011-12-28,2589.97998,1249.640015,5730.620117
2011-12-29,2613.73999,1263.02002,5701.779785
2011-12-30,2605.149902,1257.599976,5670.709961
2012-01-03,2648.719971,1277.060059,5847.029785
2012-01-04,2648.360107,1277.300049,5791.529785
2012-01-05,2669.860107,1281.060059,5852.180176
2012-01-06,2674.219971,1277.810059,5878.930176
2012-01-09,2676.560059,1280.699951,5889.759766
2012-01-10,2702.5,1292.079956,5771.27002
2012-01-11,2710.76001,1292.47998,5848.779785
2012-01-12,2724.699951,1295.5,5898.350098
2012-01-13,2710.669922,1289.089966,6075.52002
2012-01-17,2728.080078,1293.670044,6166.569824
2012-01-18,2769.709961,1308.040039,6111.549805
2012-01-19,2788.330078,1314.5,6095.990234
2012-01-20,2786.699951,1315.380005,6057.919922
2012-01-23,2784.169922,1316,6017.22998
2012-01-24,2786.639893,1314.650024,6162.97998
2012-01-25,2818.310059,1326.060059,6152.339844
2012-01-26,2805.280029,1318.430054,6179.209961
2012-01-27,2816.550049,1316.329956,6143.080078
2012-01-30,2811.939941,1313.01001,6220.009766
2012-01-31,2813.840088,1312.410034,6332.930176
2012-02-01,2848.27002,1324.089966,6354.569824
2012-02-02,2859.679932,1325.540039,6416.259766
2012-02-03,2905.659912,1344.900024,6404.390137
2012-02-06,2901.98999,1344.329956,6436.620117
2012-02-07,2904.080078,1347.050049,6419.220215
2012-02-08,2915.860107,1349.959961,6421.850098
2012-02-09,2927.22998,1351.949951,6539.850098
2012-02-10,2903.879883,1342.640015,6511.97998
2012-02-13,2931.389893,1351.77002,6444.450195
2012-02-14,2931.830078,1350.5,6458.910156
2012-02-15,2915.830078,1343.22998,6616.640137
2012-02-16,2959.850098,1358.040039,6655.629883
2012-02-17,2951.780029,1361.22998,6766.669922
2012-02-21,2948.570068,1362.209961,6764.830078
2012-02-22,2933.169922,1357.660034,6754.200195
2012-02-23,2956.97998,1363.459961,6748.759766
2012-02-24,2963.75,1365.73999,6788.799805
2012-02-27,2966.159912,1367.589966,6692.959961
2012-02-28,2986.76001,1372.180054,6738.470215
2012-02-29,2966.889893,1365.680054,6728.189941
2012-03-01,2988.969971,1374.089966,6757.939941
2012-03-02,2976.189941,1369.630005,6751.959961
2012-03-05,2950.47998,1364.329956,6848.029785
2012-03-06,2910.320068,1343.359985,6948.25
2012-03-07,2935.689941,1352.630005,6908.180176
2012-03-08,2970.419922,1365.910034,6843.870117
2012-03-09,2988.340088,1370.869995,6809.459961
2012-03-12,2983.659912,1371.089966,6864.430176
2012-03-13,3039.879883,1395.949951,6849.600098
2012-03-14,3040.72998,1394.280029,6887.629883
2012-03-15,3056.370117,1402.599976,6856.080078
2012-03-16,3055.26001,1404.170044,6941.77002
2012-03-19,3078.320068,1409.75,6921.370117
2012-03-20,3074.149902,1405.52002,6866.459961
2012-03-21,3075.320068,1402.890015,6633.109863
2012-03-22,3063.320068,1392.780029,6671.109863
